o,p,c,counts.all_mostly_true_rep (s=0.5),counts.all_mostly_true_rep (s=0.25),counts.all_mostly_true_rep (s=0.0),counts.all_totally_true_rep (s=0.5),counts.all_totally_true_rep (s=0.25),counts.all_totally_true_rep (s=0.0),counts.inspecting_s0 (s=0.5),counts.inspecting_s0 (s=0.25),counts.inspecting_s0 (s=0.0),counts.inspecting_s1 (s=0.5),counts.inspecting_s1 (s=0.25),counts.inspecting_s1 (s=0.0),counts.self_deception_s0 (s=0.5),counts.self_deception_s0 (s=0.25),counts.self_deception_s0 (s=0.0),counts.self_deception_s1 (s=0.5),counts.self_deception_s1 (s=0.25),counts.self_deception_s1 (s=0.0),counts.conscious_deception_s1 (s=0.5),counts.conscious_deception_s1 (s=0.25),counts.conscious_deception_s1 (s=0.0),counts.conscious_deception_s1_a3_correct (s=0.5),counts.conscious_deception_s1_a3_correct (s=0.25),counts.conscious_deception_s1_a3_correct (s=0.0),counts.conscious_deception_s1_a3_correct_self (s=0.5),counts.conscious_deception_s1_a3_correct_self (s=0.25),counts.conscious_deception_s1_a3_correct_self (s=0.0),counts.whole_deception_s1 (s=0.5),counts.whole_deception_s1 (s=0.25),counts.whole_deception_s1 (s=0.0),counts.whole_deception_s1_a3 (s=0.5),counts.whole_deception_s1_a3 (s=0.25),counts.whole_deception_s1_a3 (s=0.0),counts.whole_deception_s1_fromConscious (s=0.5),counts.whole_deception_s1_fromConscious (s=0.25),counts.whole_deception_s1_fromConscious (s=0.0),counts.whole_deception_s1_fromSelf (s=0.5),counts.whole_deception_s1_fromSelf (s=0.25),counts.whole_deception_s1_fromSelf (s=0.0),counts.whole_deception_s1_fromBoth (s=0.5),counts.whole_deception_s1_fromBoth (s=0.25),counts.whole_deception_s1_fromBoth (s=0.0),counts.whole_deception_s1_fromNeither (s=0.5),counts.whole_deception_s1_fromNeither (s=0.25),counts.whole_deception_s1_fromNeither (s=0.0)
0.9,0.2,0.1,675,,,372,,,481,,,900,,,354,,,492,,,881,,,393,,,24,,,913,,,878,,,699,,,121,,,455,,,86,,
0.9,0.2,0.0,697,,,380,,,700,,,968,,,393,,,509,,,922,,,430,,,37,,,943,,,931,,,716,,,131,,,481,,,70,,
0.9,0.1,0.4,581,,,345,,,4,,,39,,,315,,,448,,,840,,,35,,,4,,,895,,,116,,,654,,,116,,,410,,,56,,
0.75,1.0,0.6,992,,,919,,,267,,,906,,,48,,,77,,,914,,,54,,,0,,,916,,,894,,,900,,,7,,,70,,,7,,
0.75,1.0,0.5,991,,,905,,,694,,,989,,,64,,,93,,,958,,,74,,,0,,,960,,,952,,,941,,,8,,,85,,,18,,
0.75,1.0,0.4,994,952,836,870,139,0,949,963,1000,998,991,962,75,385,979,129,857,979,974,958,917,123,833,894,0,1,1,975,959,925,975,958,904,951,543,188,8,182,237,124,834,911,28,143,57
0.75,1.0,0.3,995,886,598,845,31,0,997,994,1000,1000,998,994,59,436,975,144,966,973,993,982,949,152,952,946,0,0,2,994,984,959,994,984,957,967,263,101,18,262,259,151,952,938,25,100,39
0.75,1.0,0.2,990,752,333,780,5,0,999,999,1000,1000,1000,998,54,412,972,172,978,972,998,994,972,216,990,971,1,0,3,998,995,980,994,995,979,953,113,94,20,227,223,219,987,955,20,41,29
0.75,1.0,0.1,988,554,158,740,1,0,999,998,1000,1000,1000,998,39,378,939,158,953,938,1000,997,986,259,997,984,0,0,0,1000,998,990,1000,998,989,952,71,164,19,183,179,257,990,934,6,21,18
0.75,1.0,0.0,986,408,73,710,0,0,1000,999,1000,1000,1000,1000,34,292,883,107,904,882,999,999,998,289,998,998,1,0,2,1000,999,998,1000,999,998,939,48,325,14,124,117,289,992,882,9,14,20
0.75,0.9,0.6,996,,,938,,,172,,,825,,,40,,,59,,,932,,,36,,,0,,,932,,,885,,,923,,,2,,,59,,,3,,
0.75,0.9,0.5,993,,,920,,,529,,,988,,,59,,,76,,,952,,,60,,,0,,,953,,,947,,,940,,,4,,,70,,,9,,
0.75,0.9,0.4,984,984,881,929,305,3,1,912,1000,8,991,955,40,424,981,57,692,981,957,946,894,0,668,868,0,1,0,959,947,904,30,945,883,951,686,248,10,94,195,64,670,891,3,134,61
0.75,0.9,0.3,992,938,722,882,78,2,988,988,1000,998,999,987,93,704,981,114,919,981,989,975,924,109,899,917,0,1,0,989,979,928,985,979,923,963,419,130,16,203,253,115,899,915,18,133,34
0.75,0.9,0.2,992,890,445,820,13,0,1000,999,1000,1000,1000,999,137,818,975,164,974,975,998,992,958,178,978,958,1,1,1,998,993,967,998,993,967,967,174,73,23,221,260,178,978,945,14,62,27
0.75,0.9,0.1,989,788,,777,2,,999,1000,,1000,1000,,149,840,,163,966,,1000,999,,221,997,,0,0,,1000,999,,998,999,,964,105,,14,193,,222,996,,10,35,
0.75,0.9,0.0,992,643,,740,0,,1000,999,,1000,1000,,164,809,,150,901,,1000,998,,258,998,,0,0,,1000,998,,1000,998,,951,45,,9,126,,259,996,,11,12,
0.75,0.8,0.6,989,,,917,,,86,,,609,,,48,,,77,,,936,,,34,,,0,,,938,,,794,,,933,,,4,,,74,,,6,,
0.75,0.8,0.5,996,,,936,,,404,,,978,,,38,,,59,,,958,,,51,,,0,,,958,,,948,,,949,,,2,,,60,,,11,,
0.75,0.8,0.4,994,981,,913,501,,762,837,,994,979,,72,298,,85,493,,963,953,,72,462,,0,0,,964,956,,961,945,,951,824,,12,57,,81,472,,15,83,
0.75,0.8,0.3,990,976,,897,150,,952,980,,997,997,,85,583,,102,846,,986,964,,97,819,,2,0,,986,965,,984,963,,966,578,,17,160,,101,822,,13,150,
0.75,0.8,0.2,995,948,,875,48,,997,998,,999,1000,,112,734,,119,946,,995,990,,122,940,,0,0,,996,990,,995,989,,964,348,,17,186,,123,943,,15,98,
0.75,0.8,0.1,995,899,,838,15,,999,999,,1000,1000,,126,792,,134,961,,997,996,,161,981,,0,0,,997,997,,996,997,,970,166,,16,183,,162,978,,9,40,
0.75,0.8,0.0,993,836,,807,6,,1000,1000,,1000,1000,,137,792,,125,911,,999,999,,193,993,,0,0,,999,999,,999,999,,965,100,,12,156,,193,992,,7,29,
0.75,0.7,0.6,991,,,938,,,27,,,431,,,35,,,57,,,930,,,14,,,0,,,930,,,665,,,924,,,3,,,54,,,3,,
0.75,0.7,0.5,991,,,917,,,231,,,931,,,52,,,76,,,947,,,61,,,0,,,948,,,925,,,936,,,2,,,75,,,6,,
0.75,0.7,0.4,990,986,,929,658,,628,690,,996,983,,60,188,,68,340,,962,951,,58,312,,0,1,,963,952,,962,943,,951,911,,8,27,,64,324,,10,61,
0.75,0.7,0.3,995,980,,915,372,,906,941,,997,994,,63,379,,83,621,,984,976,,74,611,,0,1,,984,978,,983,976,,977,804,,14,82,,79,614,,21,133,
0.75,0.7,0.2,995,979,,884,139,,990,992,,1000,1000,,102,613,,114,859,,996,983,,112,849,,1,2,,997,985,,997,985,,971,554,,22,166,,114,850,,22,102,
0.75,0.7,0.1,993,951,,872,55,,997,998,,1000,1000,,107,741,,116,921,,997,991,,121,935,,0,0,,998,992,,996,992,,975,343,,14,200,,126,934,,14,77,
0.75,0.7,0.0,997,974,,848,873,,999,215,,1000,852,,118,68,,130,116,,1000,967,,151,96,,0,6,,1000,973,,1000,927,,981,955,,11,17,,152,114,,15,13,
0.75,0.6,0.6,993,,,946,,,14,,,217,,,32,,,47,,,955,,,8,,,0,,,955,,,455,,,950,,,3,,,47,,,0,,
0.75,0.6,0.5,992,,,931,,,140,,,848,,,40,,,66,,,961,,,38,,,0,,,961,,,909,,,953,,,4,,,62,,,2,,
0.75,0.6,0.4,990,984,,940,727,,465,507,,979,955,,39,133,,55,265,,952,944,,47,241,,0,0,,954,945,,943,935,,947,923,,5,14,,54,253,,11,43,
0.75,0.6,0.3,991,989,,926,569,,793,831,,995,990,,58,257,,71,427,,982,962,,61,409,,1,2,,982,963,,979,961,,972,905,,9,33,,69,412,,11,76,
0.75,0.6,0.2,996,980,,915,318,,956,962,,999,998,,73,438,,83,680,,985,977,,78,663,,0,2,,985,980,,984,979,,973,766,,14,97,,80,667,,15,110,
0.75,0.6,0.1,992,980,,915,154,,995,995,,1000,1000,,71,613,,84,839,,995,991,,82,838,,0,0,,995,992,,995,992,,985,571,,9,149,,82,837,,14,104,
0.75,0.6,0.0,989,968,,895,67,,999,1000,,1000,999,,86,723,,94,897,,998,998,,104,931,,0,1,,999,999,,999,999,,982,406,,16,152,,101,931,,11,68,
0.75,0.5,0.6,991,,,921,,,5,,,85,,,49,,,70,,,949,,,3,,,0,,,949,,,204,,,943,,,5,,,72,,,0,,
0.75,0.5,0.5,989,,,914,,,75,,,620,,,68,,,82,,,953,,,33,,,0,,,953,,,793,,,935,,,10,,,79,,,3,,
0.75,0.5,0.4,992,982,,936,779,,280,335,,957,889,,43,98,,63,211,,961,941,,49,176,,0,0,,963,944,,948,909,,951,924,,5,11,,60,202,,5,24,
0.75,0.5,0.3,996,983,,936,716,,589,667,,998,979,,46,165,,63,279,,980,953,,55,256,,0,2,,981,957,,980,948,,977,925,,8,11,,59,264,,10,58,
0.75,0.5,0.2,995,984,,936,564,,873,902,,999,997,,56,265,,64,432,,989,976,,58,417,,2,1,,990,979,,989,977,,982,909,,9,38,,62,421,,10,75,
0.75,0.5,0.1,993,983,,908,391,,969,981,,999,1000,,79,417,,88,606,,985,982,,80,594,,1,1,,987,985,,986,985,,972,812,,10,80,,86,595,,26,86,
0.75,0.5,0.0,998,984,,912,211,,998,998,,1000,1000,,83,579,,85,779,,999,990,,87,781,,0,3,,999,990,,999,990,,986,661,,11,121,,88,780,,10,75,
0.75,0.4,0.6,991,,,926,,,0,,,30,,,41,,,64,,,940,,,2,,,0,,,941,,,91,,,930,,,4,,,64,,,2,,
0.75,0.4,0.5,989,,,913,,,14,,,300,,,55,,,78,,,944,,,22,,,0,,,944,,,544,,,935,,,4,,,80,,,2,,
0.75,0.4,0.4,991,987,,927,795,,128,192,,847,751,,48,90,,61,200,,961,940,,49,131,,1,1,,962,943,,924,856,,951,921,,7,12,,64,182,,2,14,
0.75,0.4,0.3,993,983,,942,775,,391,477,,977,953,,45,114,,58,217,,964,949,,45,188,,0,1,,966,953,,955,934,,958,926,,6,12,,55,207,,6,36,
0.75,0.4,0.2,991,989,,923,735,,691,766,,998,995,,63,176,,74,263,,974,967,,67,245,,0,3,,975,970,,974,970,,959,943,,8,17,,71,247,,7,48,
0.75,0.4,0.1,991,984,,940,632,,879,913,,1000,999,,53,227,,58,367,,983,978,,49,352,,0,3,,984,979,,983,979,,976,921,,11,37,,57,357,,14,72,
0.75,0.4,0.0,996,986,,909,491,,971,978,,1000,1000,,84,362,,89,504,,993,985,,87,496,,0,3,,993,988,,993,988,,980,862,,16,84,,88,499,,12,60,
0.75,0.3,0.6,982,,,919,,,0,,,6,,,48,,,71,,,926,,,1,,,0,,,929,,,27,,,919,,,7,,,65,,,2,,
0.75,0.3,0.5,991,,,926,,,2,,,122,,,54,,,67,,,952,,,9,,,0,,,952,,,282,,,939,,,5,,,66,,,1,,
0.75,0.3,0.4,991,981,,917,829,,49,74,,536,479,,57,75,,76,160,,952,931,,34,68,,1,1,,954,936,,748,707,,944,917,,6,12,,72,153,,1,10,
0.75,0.3,0.3,983,981,,928,807,,216,261,,908,855,,38,89,,65,181,,955,956,,43,148,,1,0,,956,960,,927,909,,952,943,,8,12,,63,181,,3,13,
0.75,0.3,0.2,988,979,,940,814,,458,524,,986,970,,46,115,,55,177,,971,959,,39,160,,0,2,,974,962,,969,956,,962,939,,6,16,,52,170,,4,25,
0.75,0.3,0.1,988,990,,945,769,,717,780,,997,997,,44,151,,54,230,,982,966,,45,218,,1,4,,984,966,,983,965,,973,937,,15,22,,51,219,,5,37,
0.75,0.3,0.0,993,989,,937,687,,898,937,,1000,1000,,58,242,,61,310,,991,977,,55,298,,3,1,,991,980,,991,980,,982,941,,8,32,,59,300,,11,52,
0.75,0.2,0.6,988,,,912,,,0,,,0,,,51,,,74,,,953,,,1,,,0,,,954,,,3,,,942,,,6,,,74,,,2,,
0.75,0.2,0.5,987,,,918,,,4,,,19,,,44,,,64,,,961,,,2,,,0,,,964,,,81,,,949,,,12,,,71,,,3,,
0.75,0.2,0.4,983,982,,906,830,,9,30,,241,191,,53,63,,77,154,,959,947,,13,39,,0,1,,962,951,,477,397,,949,936,,5,12,,79,146,,3,13,
0.75,0.2,0.3,990,983,,929,835,,82,103,,701,582,,46,69,,64,151,,961,938,,28,89,,1,2,,964,939,,843,765,,955,927,,10,9,,62,149,,5,5,
0.75,0.2,0.2,986,984,,925,816,,231,332,,928,910,,53,102,,67,173,,966,958,,52,137,,1,2,,969,961,,941,937,,954,938,,14,15,,68,165,,10,11,
0.75,0.2,0.1,994,988,,931,825,,480,553,,984,985,,45,104,,63,169,,974,971,,49,157,,0,1,,974,973,,969,971,,969,959,,10,13,,63,165,,8,16,
0.75,0.2,0.0,991,987,,943,800,,685,744,,996,994,,47,127,,55,195,,979,978,,46,186,,0,1,,981,978,,980,976,,975,960,,8,17,,52,194,,8,35,
0.75,0.1,0.6,989,,,938,,,0,,,0,,,37,,,50,,,957,,,1,,,0,,,958,,,2,,,949,,,3,,,56,,,2,,
0.75,0.1,0.5,989,,,933,,,0,,,4,,,41,,,58,,,955,,,0,,,0,,,955,,,14,,,947,,,9,,,58,,,0,,
0.75,0.1,0.4,986,984,,921,851,,1,5,,54,44,,52,71,,67,130,,959,943,,9,11,,1,0,,960,948,,155,133,,947,931,,16,12,,64,131,,1,5,
0.75,0.1,0.3,987,978,,931,826,,15,30,,300,222,,45,66,,59,153,,957,946,,17,57,,1,0,,958,947,,549,472,,946,927,,9,11,,59,160,,1,3,
0.75,0.1,0.2,990,977,,925,843,,78,129,,693,625,,49,67,,62,143,,966,950,,38,83,,0,3,,968,957,,838,792,,960,932,,15,14,,65,134,,4,9,
0.75,0.1,0.1,987,981,,922,829,,213,263,,915,914,,49,86,,70,160,,972,961,,47,132,,0,1,,974,964,,944,936,,968,947,,12,13,,69,153,,16,13,
0.75,0.1,0.0,994,983,,926,847,,407,508,,977,973,,54,76,,69,147,,979,965,,56,131,,2,1,,980,966,,975,959,,975,959,,9,9,,68,137,,3,14,
0.75,0.0,0.6,988,,,917,,,0,,,0,,,45,,,68,,,953,,,0,,,0,,,956,,,0,,,941,,,10,,,69,,,3,,
0.75,0.0,0.5,979,,,893,,,0,,,0,,,63,,,92,,,950,,,0,,,0,,,951,,,3,,,939,,,18,,,92,,,4,,
0.75,0.0,0.4,987,,,928,,,0,,,4,,,43,,,58,,,954,,,1,,,0,,,955,,,22,,,945,,,14,,,59,,,2,,
0.75,0.0,0.3,988,,,928,,,2,,,73,,,47,,,58,,,962,,,6,,,1,,,964,,,173,,,956,,,11,,,59,,,1,,
0.75,0.0,0.2,985,,,917,,,20,,,267,,,55,,,67,,,961,,,23,,,1,,,961,,,495,,,952,,,10,,,75,,,2,,
0.75,0.0,0.1,985,,,929,,,67,,,586,,,41,,,61,,,964,,,40,,,0,,,965,,,782,,,955,,,7,,,61,,,3,,
0.75,0.0,0.0,988,,,942,,,165,,,838,,,38,,,54,,,973,,,35,,,2,,,974,,,924,,,968,,,11,,,53,,,6,,
