s,p,c,counts.all_mostly_true_rep (o=1.0),counts.all_mostly_true_rep (o=0.9),counts.all_mostly_true_rep (o=0.75),counts.all_totally_true_rep (o=1.0),counts.all_totally_true_rep (o=0.9),counts.all_totally_true_rep (o=0.75),counts.inspecting_s0 (o=1.0),counts.inspecting_s0 (o=0.9),counts.inspecting_s0 (o=0.75),counts.inspecting_s1 (o=1.0),counts.inspecting_s1 (o=0.9),counts.inspecting_s1 (o=0.75),counts.self_deception_s0 (o=1.0),counts.self_deception_s0 (o=0.9),counts.self_deception_s0 (o=0.75),counts.self_deception_s1 (o=1.0),counts.self_deception_s1 (o=0.9),counts.self_deception_s1 (o=0.75),counts.conscious_deception_s1 (o=1.0),counts.conscious_deception_s1 (o=0.9),counts.conscious_deception_s1 (o=0.75),counts.conscious_deception_s1_a3_correct (o=1.0),counts.conscious_deception_s1_a3_correct (o=0.9),counts.conscious_deception_s1_a3_correct (o=0.75),counts.conscious_deception_s1_a3_correct_self (o=1.0),counts.conscious_deception_s1_a3_correct_self (o=0.9),counts.conscious_deception_s1_a3_correct_self (o=0.75),counts.whole_deception_s1 (o=1.0),counts.whole_deception_s1 (o=0.9),counts.whole_deception_s1 (o=0.75),counts.whole_deception_s1_a3 (o=1.0),counts.whole_deception_s1_a3 (o=0.9),counts.whole_deception_s1_a3 (o=0.75),counts.whole_deception_s1_fromConscious (o=1.0),counts.whole_deception_s1_fromConscious (o=0.9),counts.whole_deception_s1_fromConscious (o=0.75),counts.whole_deception_s1_fromSelf (o=1.0),counts.whole_deception_s1_fromSelf (o=0.9),counts.whole_deception_s1_fromSelf (o=0.75),counts.whole_deception_s1_fromBoth (o=1.0),counts.whole_deception_s1_fromBoth (o=0.9),counts.whole_deception_s1_fromBoth (o=0.75),counts.whole_deception_s1_fromNeither (o=1.0),counts.whole_deception_s1_fromNeither (o=0.9),counts.whole_deception_s1_fromNeither (o=0.75)
0.5,0.7,0.5,274,,991,123,,917,57,,231,220,,931,315,,52,501,,76,776,,947,107,,61,4,,0,826,,948,244,,925,570,,936,85,,2,426,,75,77,,6
0.5,0.7,0.4,281,723,990,126,433,929,180,413,628,350,760,996,330,305,60,489,450,68,743,827,962,174,272,58,11,8,0,795,856,963,326,708,962,551,643,951,94,71,8,411,395,64,80,62,10
0.5,0.7,0.3,286,753,995,103,401,915,439,727,906,563,881,997,352,346,63,547,502,83,793,849,984,319,388,74,20,16,0,851,877,984,483,789,983,565,672,977,122,85,14,482,450,79,103,90,21
0.5,0.7,0.2,327,756,995,72,310,884,666,891,990,730,942,1000,395,402,102,591,589,114,796,898,996,455,532,112,27,14,1,854,920,997,591,862,997,541,684,971,129,113,22,513,556,114,128,109,22
0.5,0.7,0.1,319,739,993,26,196,872,781,956,997,818,981,1000,453,492,107,628,691,116,850,951,997,587,703,121,38,12,0,891,963,998,675,921,996,545,633,975,143,162,14,581,687,126,116,110,14
0.5,0.7,0.0,297,730,997,6,127,848,865,978,999,893,988,1000,491,559,118,633,723,130,914,956,1000,738,802,151,35,16,0,943,963,1000,805,944,1000,571,564,981,166,147,11,623,756,152,127,91,15
0.5,0.6,0.6,223,,993,110,,946,3,,14,20,,217,324,,32,478,,47,756,,955,10,,8,0,,0,826,,955,51,,455,554,,950,126,,3,419,,47,100,,0
0.5,0.6,0.5,246,,992,127,,931,18,,140,155,,848,334,,40,492,,66,758,,961,72,,38,7,,0,824,,961,187,,909,528,,953,100,,4,432,,62,82,,2
0.5,0.6,0.4,240,722,990,122,439,940,110,275,465,289,716,979,337,281,39,490,427,55,784,823,952,134,231,47,7,8,0,849,868,954,294,692,943,573,670,947,108,81,5,430,364,54,88,71,11
0.5,0.6,0.3,264,739,991,115,421,926,311,612,793,475,860,995,338,343,58,481,482,71,773,866,982,248,357,61,14,13,1,840,889,982,448,799,979,564,683,972,113,89,9,420,437,69,115,60,11
0.5,0.6,0.2,275,714,996,89,386,915,554,833,956,661,914,999,383,384,73,544,501,83,793,869,985,385,430,78,18,15,0,853,906,985,573,841,984,559,672,973,103,108,14,483,466,80,120,92,15
0.5,0.6,0.1,320,709,992,63,270,915,735,913,995,821,972,1000,453,477,71,616,617,84,851,924,995,568,595,82,45,21,0,883,946,995,699,907,995,565,643,985,143,123,9,569,590,82,112,100,14
0.5,0.6,0.0,307,759,989,27,196,895,816,961,999,854,982,1000,474,533,86,634,715,94,883,944,998,650,705,104,49,15,0,909,956,999,742,928,999,572,625,982,168,137,16,599,703,101,120,102,11
0.5,0.5,0.6,217,,991,108,,921,1,,5,11,,85,327,,49,484,,70,766,,949,4,,3,1,,0,825,,949,33,,204,540,,943,93,,5,426,,72,85,,0
0.5,0.5,0.5,218,,989,116,,914,12,,75,91,,620,341,,68,483,,82,762,,953,41,,33,2,,0,834,,953,141,,793,552,,935,112,,10,423,,79,89,,3
